Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity,,,
3/13/2020,33,0,12,0,4,14,5,5,5,0,0,0,8,25,0,4,3,4,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,2,0,0,6,6,0,2,0,5,5,0,0,,,
3/14/2020,31,0,11,0,9,2,7,6,3,3,1,0,17,12,2,2,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,0,8,3,0,3,0,5,3,0,0,,,
3/15/2020,40,0,24,0,3,8,9,8,5,4,3,0,13,27,0,6,4,12,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,4,5,4,2,0,9,15,0,4,2,14,4,0,0,,,
3/16/2020,78,1,17,1,14,21,18,12,7,4,1,0,37,41,0,8,6,25,30,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,7,3,2,2,1,0,4,13,0,2,0,11,4,0,0,,,
7/1/2020,262,13,17,16,96,51,31,27,25,6,10,0,153,108,1,92,1,64,54,4,47,0,0,0,3,2,2,2,4,0,5,8,0,6,0,4,3,0,0,0,0,0,1,5,4,3,4,0,8,9,0,5,0,8,3,0,1,,,
4/28/2020,1323,56,175,68,247,232,253,247,156,68,52,0,620,674,29,573,16,241,105,83,305,0,0,0,3,5,9,10,29,0,23,33,0,13,5,26,12,0,0,2,10,18,21,40,28,30,26,0,73,102,0,63,6,61,30,15,0,,,
3/24/2020,352,2,121,1,59,69,58,56,61,34,14,0,160,191,1,63,13,158,84,9,25,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,1,3,11,15,29,27,21,14,0,48,73,0,22,0,73,19,5,2,,,
8/12/2020,433,2,22,51,119,93,72,54,29,9,6,0,223,207,3,176,1,81,90,20,65,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,2,1,2,4,8,3,2,0,9,13,0,9,0,8,3,1,1,,,
5/19/2020,897,27,74,78,213,175,148,131,85,39,28,0,452,439,6,421,12,139,71,42,212,0,1,1,3,6,5,6,5,0,8,19,0,10,2,11,3,0,1,5,3,10,12,13,14,9,8,0,40,34,0,30,1,28,11,3,1,,,
7/24/2020,344,3,21,37,102,76,47,39,21,11,11,0,194,148,2,127,12,74,64,11,56,0,0,1,0,1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,6,2,4,2,3,0,10,11,0,8,1,9,3,0,0,,,
5/20/2020,777,29,70,58,210,133,138,108,74,36,18,2,406,362,9,358,4,144,59,26,186,0,1,1,1,6,10,4,6,0,7,22,0,15,3,7,4,0,0,3,7,4,7,7,15,15,12,0,37,33,0,25,1,34,6,1,3,,,
8/28/2020,377,4,13,64,107,60,54,50,25,12,5,0,177,200,0,156,7,60,60,16,78,0,0,1,0,1,0,2,0,0,4,0,0,2,0,2,0,0,0,2,1,1,3,1,2,1,2,0,8,5,0,3,0,7,1,1,1,,,
8/25/2020,395,4,20,50,111,74,65,48,27,10,9,1,212,178,5,168,7,58,74,16,72,0,0,0,0,0,0,0,4,0,1,3,0,0,1,2,1,0,0,0,3,2,1,6,2,4,2,0,12,8,0,7,0,9,4,0,0,,,
8/29/2020,222,4,10,25,68,33,40,24,20,12,0,0,121,101,0,88,4,21,45,9,55,0,0,0,0,1,1,1,1,0,2,2,0,1,1,0,1,1,0,2,1,1,1,2,2,1,0,0,6,4,0,4,0,3,3,0,0,,,
3/28/2020,253,4,133,2,29,54,38,45,38,28,19,0,138,114,1,38,5,134,43,11,22,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,0,1,0,1,5,11,17,33,21,23,22,0,71,62,0,22,3,85,16,6,1,,,
6/16/2020,213,11,21,18,60,37,32,32,21,4,9,0,118,93,2,75,5,53,21,5,54,0,1,0,2,3,1,2,2,0,5,6,0,9,0,1,1,0,0,1,3,1,3,3,4,3,3,0,13,8,0,6,1,11,3,0,0,,,
3/9/2020,5,0,3,3,0,0,0,0,0,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,1,1,0,,,
6/29/2020,280,7,25,22,89,56,36,40,17,9,11,0,137,140,3,102,2,60,51,9,56,0,0,0,0,0,2,2,3,0,4,3,0,3,0,2,2,0,0,1,4,2,2,5,6,1,4,0,10,15,0,10,0,10,4,0,1,,,
6/3/2020,284,21,42,24,63,48,41,44,32,18,14,0,154,129,1,109,3,68,26,19,59,0,2,0,0,0,1,9,9,0,10,11,0,9,0,8,4,0,0,1,6,4,2,3,14,7,5,0,19,23,0,12,0,23,6,0,1,,,
5/10/2020,307,39,95,17,60,52,64,42,41,14,17,0,138,168,1,121,7,64,38,14,63,0,0,1,3,2,11,8,14,0,15,24,0,15,1,15,7,1,0,2,9,8,16,9,29,13,9,0,39,55,1,40,3,33,14,5,0,,,
8/20/2020,396,3,14,46,113,75,60,58,30,10,4,0,217,175,4,167,6,64,82,17,60,0,0,0,1,0,2,0,0,0,2,1,0,2,0,0,1,0,0,0,2,3,2,3,3,1,0,0,9,5,0,6,1,2,5,0,0,,,
7/29/2020,444,3,13,56,131,94,67,50,28,12,6,0,229,208,7,180,7,97,85,20,55,0,0,0,1,0,1,0,1,0,2,1,0,1,0,2,0,0,0,1,3,1,5,1,2,0,0,0,3,10,0,5,0,4,2,2,0,,,
4/12/2020,341,33,137,28,32,56,54,60,46,34,31,0,142,182,17,91,7,116,56,21,50,0,0,1,2,3,11,6,10,0,16,17,0,4,1,20,8,0,0,0,3,7,16,31,29,30,21,0,55,81,1,33,4,68,25,7,0,,,
8/21/2020,413,5,12,58,133,81,45,54,28,11,3,0,230,179,4,212,15,55,70,16,45,0,0,0,1,1,1,1,1,0,3,2,0,4,0,0,1,0,0,0,0,1,3,3,1,2,2,0,6,6,0,6,0,3,2,1,0,,,
7/30/2020,341,1,12,49,77,80,49,50,25,7,4,0,175,165,1,155,11,72,56,8,39,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,2,1,4,1,0,6,6,0,4,1,4,3,0,0,,,
7/6/2020,284,5,20,22,81,66,41,36,21,11,6,0,150,127,7,87,12,67,46,7,65,0,0,0,0,1,2,0,2,0,4,1,0,1,0,2,2,0,0,0,1,3,2,4,3,4,3,0,11,9,0,2,1,12,5,0,0,,,
7/31/2020,393,2,15,47,113,81,64,42,31,8,7,0,208,182,3,187,5,76,73,12,40,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,2,3,1,1,6,1,1,0,9,6,0,5,1,6,3,0,0,,,
6/25/2020,247,10,16,21,68,65,37,21,20,11,4,0,123,124,0,85,3,56,42,10,51,0,0,0,3,0,2,2,3,0,5,5,0,6,0,3,1,0,0,0,2,1,2,3,3,4,1,0,7,9,0,6,0,9,1,0,0,,,
6/23/2020,233,8,21,12,72,43,37,27,16,17,9,0,117,115,1,95,7,41,45,4,41,0,0,0,0,0,3,2,3,0,3,5,0,3,0,4,1,0,0,0,3,1,4,4,3,3,3,0,11,10,0,7,0,7,4,3,0,,,
7/11/2020,156,2,17,9,69,22,23,13,12,8,0,0,79,77,0,33,3,43,34,13,30,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,5,1,1,1,4,4,1,0,8,9,0,4,0,12,1,0,0,,,
4/29/2020,1156,42,156,54,210,230,219,203,118,62,60,0,535,589,32,512,17,172,116,45,294,0,1,1,4,4,5,8,19,0,20,22,0,16,3,13,10,0,0,0,12,12,22,25,34,20,31,0,78,78,0,59,4,46,33,9,5,,,
5/1/2020,1173,39,138,58,224,222,204,193,134,70,68,0,617,525,31,535,26,192,109,48,263,0,1,0,1,4,12,8,13,0,14,25,0,12,1,15,10,0,1,0,15,11,16,21,25,31,19,0,76,62,0,50,3,57,21,3,4,,,
5/27/2020,614,26,49,70,124,100,116,83,67,32,22,0,319,284,11,303,8,105,49,21,128,0,0,2,1,1,7,7,8,0,10,16,0,10,1,10,5,0,0,0,4,5,10,6,8,8,8,0,22,27,0,18,1,14,14,1,1,,,
6/18/2020,184,14,27,24,43,34,30,29,9,5,10,0,94,86,4,82,3,31,25,3,40,0,0,1,1,0,5,4,3,0,7,7,0,6,0,7,1,0,0,1,2,6,3,1,3,5,6,0,16,11,0,11,0,8,8,0,0,,,
7/3/2020,175,5,21,14,52,37,26,17,16,9,4,0,107,67,1,43,1,44,32,10,45,0,0,0,0,0,2,1,2,0,3,2,0,1,0,4,0,0,0,4,0,1,4,3,4,3,2,0,9,12,0,2,0,13,4,1,1,,,
4/18/2020,538,39,164,13,89,101,96,92,81,44,22,0,244,289,5,179,17,162,59,23,98,0,0,0,3,4,8,12,12,0,20,19,0,12,5,20,2,0,0,1,7,17,19,36,39,28,17,0,62,102,0,53,4,75,21,9,2,,,
5/11/2020,1016,39,114,62,205,198,193,143,115,69,31,0,513,489,14,522,14,157,84,29,210,0,0,1,3,6,4,6,19,0,15,24,0,17,0,15,7,0,0,4,7,11,14,20,24,24,10,0,42,70,2,45,3,36,21,7,2,,,
9/3/2020,53,0,,2,19,9,8,10,1,4,0,0,26,27,0,4,2,5,25,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
6/19/2020,219,15,32,28,69,38,28,24,16,10,6,0,111,103,5,86,2,48,28,7,48,0,0,0,1,3,3,2,6,0,7,8,0,3,1,5,6,0,0,3,3,2,4,5,7,4,4,0,16,16,0,9,0,16,5,0,2,,,
5/13/2020,878,45,97,56,188,166,164,135,97,40,32,0,451,420,7,419,14,125,68,28,224,0,0,2,3,4,13,10,13,0,16,29,0,18,5,13,7,1,1,2,4,7,11,18,26,18,11,0,53,44,0,39,2,42,9,2,3,,,
8/13/2020,392,4,19,39,118,79,74,40,23,11,8,0,213,176,3,182,7,71,87,13,32,0,0,0,0,1,0,3,0,0,1,3,0,2,0,1,1,0,0,0,3,1,5,0,3,6,1,0,11,8,0,6,0,10,1,1,1,,,
8/11/2020,385,4,16,47,101,73,68,49,37,7,3,0,181,201,3,160,4,74,75,15,57,0,0,0,0,1,0,1,2,0,1,3,0,1,1,2,0,0,0,0,0,2,0,3,6,2,3,0,11,5,0,2,0,8,6,0,0,,,
4/23/2020,1471,36,165,32,195,205,223,241,245,162,167,1,735,647,89,473,20,370,178,67,363,0,1,1,4,3,9,8,10,0,9,27,0,13,2,14,7,0,0,1,6,13,22,27,39,30,27,0,76,87,2,60,6,58,28,11,2,,,
3/17/2020,96,1,28,0,15,21,18,17,19,2,4,0,37,58,1,7,3,38,40,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,2,7,8,3,4,0,8,20,0,3,0,20,5,0,0,,,
3/25/2020,368,5,126,2,51,71,72,83,33,36,20,0,170,197,1,49,10,184,86,17,22,0,0,1,0,1,1,0,2,0,3,2,0,1,0,3,1,0,0,0,6,16,16,25,16,29,18,0,56,70,0,13,2,94,14,3,0,,,
6/30/2020,266,3,23,25,92,59,39,24,16,5,6,0,136,129,1,107,3,53,47,3,53,0,0,0,0,0,1,2,0,0,2,1,0,1,0,1,1,0,0,1,4,2,3,3,6,2,2,0,11,12,0,8,0,11,4,0,0,,,
7/25/2020,157,8,16,26,36,34,25,16,8,9,3,0,82,75,0,58,7,35,32,9,16,0,0,0,1,1,3,1,2,0,4,4,0,2,0,3,3,0,0,0,0,3,3,1,4,3,2,0,9,7,0,2,0,9,4,1,0,,,
4/27/2020,1158,35,168,42,234,202,232,205,125,54,64,0,572,554,32,515,24,199,108,61,251,0,0,0,1,3,4,14,13,0,11,24,0,8,1,19,7,0,0,1,9,9,16,39,37,20,37,0,75,91,2,53,4,70,29,11,1,,,
5/24/2020,280,27,69,16,56,42,48,33,47,22,16,0,150,130,0,117,2,49,17,12,83,0,0,0,4,2,6,8,7,0,14,13,0,9,0,12,6,0,0,0,6,5,3,13,22,10,10,0,39,30,0,23,1,30,8,4,3,,,
4/21/2020,874,35,167,20,150,164,158,151,109,56,66,0,437,429,8,357,13,208,117,37,142,0,1,0,2,0,7,11,14,0,14,21,0,11,2,18,4,0,0,1,5,10,16,33,35,33,34,0,70,96,1,56,4,70,25,10,2,,,
8/8/2020,176,3,11,22,56,26,32,18,14,3,5,0,93,81,2,64,6,38,35,7,26,0,0,0,1,1,0,1,0,0,0,3,0,2,0,1,0,0,0,0,0,0,2,2,3,1,3,0,4,7,0,5,1,5,0,0,0,,,
6/17/2020,221,21,23,18,58,33,32,30,23,14,13,0,109,110,2,98,3,42,31,6,41,0,0,0,1,3,7,5,5,0,11,10,0,9,1,7,4,0,0,1,2,3,3,2,4,5,3,0,13,10,0,6,0,14,2,1,0,,,
9/2/2020,162,3,,18,42,39,27,16,12,6,2,0,89,72,1,45,4,25,34,13,41,0,0,0,0,1,1,0,1,0,1,2,0,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
8/7/2020,416,2,20,65,108,82,55,48,35,13,10,0,201,214,1,182,9,67,84,18,56,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,2,3,0,5,4,2,4,0,11,9,0,8,0,9,2,0,1,,,
7/17/2020,325,3,20,37,102,64,48,35,21,13,5,0,169,153,3,130,6,75,54,14,46,0,0,0,0,2,0,0,1,0,1,2,0,2,0,1,0,0,0,0,5,2,6,1,2,2,2,0,10,10,0,3,0,12,4,0,1,,,
5/12/2020,943,46,104,64,178,177,182,162,92,50,38,0,493,445,5,440,10,169,100,21,203,0,0,4,2,4,10,7,19,0,12,34,0,21,2,19,4,0,0,1,7,16,10,22,20,14,14,0,48,56,0,46,2,38,16,1,1,,,
5/30/2020,243,21,41,23,57,41,43,41,23,10,5,0,134,107,2,97,4,48,20,12,62,0,0,0,2,1,7,5,6,0,11,10,0,11,0,5,4,1,0,1,4,1,6,10,8,5,6,0,16,25,0,13,2,15,7,1,3,,,
8/23/2020,111,1,18,9,33,12,20,15,10,10,2,0,56,55,0,35,1,21,36,5,13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,2,3,2,3,3,1,0,6,12,0,7,0,5,4,1,1,,,
9/1/2020,220,2,,24,56,45,30,40,18,4,3,0,112,108,0,91,3,37,33,5,51,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
8/15/2020,223,5,14,18,64,41,29,34,22,11,2,2,103,116,4,74,7,50,61,5,26,0,0,0,1,0,0,2,2,0,3,2,0,0,0,3,2,0,0,0,2,2,0,3,0,5,2,0,6,8,0,3,0,8,3,0,0,,,
3/19/2020,186,2,39,5,35,48,36,25,18,17,2,0,86,98,2,20,10,80,63,7,6,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,2,8,9,6,11,2,0,16,22,1,4,1,25,8,1,0,,,
8/24/2020,519,3,18,84,123,105,90,63,30,18,5,1,273,240,6,278,7,58,87,18,71,0,0,0,0,0,0,2,1,0,0,3,0,1,0,1,1,0,0,2,2,3,1,3,4,0,3,0,6,12,0,4,1,7,3,3,0,,,
9/4/2020,1,0,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
,128,0,354,2,26,26,23,24,12,10,4,1,61,62,5,21,7,38,11,6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,46,50,60,54,53,44,33,0,166,181,7,115,13,135,60,18,13,,,
5/31/2020,120,22,30,16,28,19,22,12,13,5,5,0,59,60,1,44,1,39,7,0,29,0,0,0,3,2,5,6,6,0,8,14,0,8,0,8,6,0,0,3,3,2,3,4,11,2,2,0,11,19,0,7,1,19,1,0,2,,,
8/4/2020,368,2,26,48,106,68,55,38,32,17,4,0,200,164,4,170,10,70,60,15,43,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,4,2,4,2,7,5,2,0,14,12,0,8,3,12,3,0,0,,,
6/7/2020,110,20,27,3,30,29,15,13,9,7,4,0,52,58,0,44,3,20,9,3,31,0,0,1,2,1,8,1,7,0,7,13,0,10,0,8,2,0,0,0,5,5,5,4,4,4,0,0,16,11,0,13,2,9,1,1,1,,,
6/10/2020,235,11,25,10,57,47,32,36,26,18,9,0,130,100,5,98,3,46,30,7,51,0,0,1,2,2,1,4,1,0,4,7,0,4,1,6,0,0,0,0,0,2,2,7,3,5,6,0,15,10,0,3,1,16,5,0,0,,,
6/11/2020,204,10,23,19,65,27,29,32,19,9,4,0,107,92,5,98,3,31,25,5,42,0,0,0,1,1,2,2,4,0,4,6,0,3,1,4,2,0,0,0,4,4,2,5,3,2,3,0,7,16,0,12,0,8,3,0,0,,,
6/27/2020,130,5,13,11,41,21,24,13,10,7,3,0,64,65,1,44,2,33,21,6,24,0,0,0,0,0,1,2,2,0,4,1,0,1,0,3,1,0,0,1,3,0,1,1,4,0,3,0,9,4,0,6,0,6,1,0,0,,,
7/7/2020,348,4,22,36,108,69,54,46,19,8,5,3,187,159,2,99,12,92,69,12,64,0,0,0,0,0,3,0,1,0,3,1,0,3,0,1,0,0,0,0,2,3,2,5,3,5,2,0,8,14,0,4,2,11,4,1,0,,,
8/22/2020,183,1,12,18,54,30,28,24,16,11,2,0,91,90,2,63,4,27,47,10,32,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,2,1,6,0,0,8,4,0,1,0,8,3,0,0,,,
6/8/2020,272,15,31,21,62,48,49,40,24,15,13,0,135,131,6,136,3,43,28,9,53,0,0,1,1,2,2,3,6,0,6,9,0,5,1,5,3,1,0,1,5,1,4,7,4,3,6,0,17,14,0,9,2,12,6,2,0,,,
8/17/2020,499,3,17,68,148,84,72,63,30,23,11,0,239,254,6,258,10,77,88,16,50,0,0,0,0,1,0,1,1,0,1,2,0,0,0,2,1,0,0,1,0,2,2,4,2,5,1,0,7,10,0,6,0,9,2,0,0,,,
5/8/2020,926,44,91,52,170,192,196,153,85,44,34,0,443,464,19,438,16,139,78,41,214,0,0,0,1,4,13,12,14,0,21,23,0,15,0,15,14,0,0,0,7,8,9,19,15,13,20,0,42,49,0,35,2,34,12,6,2,,,
8/30/2020,90,4,11,10,21,13,15,15,8,4,3,1,46,43,1,19,0,18,23,4,26,0,0,0,0,0,0,3,1,0,3,1,0,1,0,3,0,0,0,1,1,1,1,2,2,0,3,0,7,4,0,5,0,5,1,0,0,,,
6/21/2020,47,10,13,4,16,11,3,7,2,3,1,0,28,19,0,16,1,10,6,2,12,0,0,1,0,0,3,3,3,0,5,5,0,3,0,3,4,0,0,1,2,0,1,2,3,3,1,0,8,5,0,6,0,4,2,1,0,,,
8/27/2020,353,1,13,37,122,70,57,30,20,9,8,0,187,162,4,150,4,51,62,19,67,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,2,1,3,2,0,9,4,0,6,0,4,2,1,0,,,
4/30/2020,1283,40,168,57,232,224,228,187,152,99,104,0,626,627,30,537,23,216,147,49,311,0,0,3,0,4,8,11,14,0,17,23,0,13,1,18,8,0,0,1,11,16,13,33,39,25,30,0,74,92,2,59,8,56,30,11,4,,,
7/23/2020,318,2,25,33,102,68,43,35,17,12,8,0,190,127,1,93,13,80,74,14,44,0,0,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,3,6,2,5,2,5,2,0,13,12,0,12,1,8,3,1,0,,,
8/14/2020,348,3,20,56,84,64,60,41,26,10,7,0,182,160,6,129,5,67,80,15,52,0,0,0,0,0,1,1,1,0,1,2,0,1,0,2,0,0,0,0,1,2,2,2,4,5,4,0,12,8,0,2,0,14,3,0,1,,,
5/3/2020,466,45,138,10,98,77,76,81,66,31,27,0,210,247,9,197,8,116,41,20,84,0,0,0,2,4,13,13,13,0,20,25,0,20,0,16,9,0,0,2,10,17,17,27,21,23,21,0,61,77,0,58,1,41,20,14,4,,,
6/28/2020,112,5,24,8,36,22,21,10,9,4,2,0,65,47,0,34,1,21,25,6,25,0,0,0,1,0,2,0,2,0,4,1,0,2,0,2,1,0,0,0,4,0,3,4,3,5,5,0,15,9,0,7,0,11,6,0,0,,,
3/26/2020,415,2,135,2,65,74,79,96,53,36,10,0,183,230,2,77,12,198,91,14,23,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,7,11,24,25,29,27,12,0,57,78,0,27,1,81,21,4,1,,,
4/15/2020,633,31,147,21,93,108,110,126,86,47,42,0,305,326,2,230,21,180,64,44,94,0,1,1,3,2,5,5,14,0,8,23,0,9,3,15,4,0,0,1,6,13,17,32,35,30,13,0,66,81,0,47,1,68,23,6,2,,,
6/24/2020,244,9,23,22,76,56,29,34,11,8,8,0,142,101,1,81,5,51,40,8,59,0,0,0,0,3,4,1,1,0,5,4,0,6,1,2,0,0,0,0,7,3,1,3,2,6,1,0,16,7,0,6,0,13,4,0,0,,,
8/2/2020,93,3,15,11,19,29,10,6,11,6,1,0,44,49,0,26,2,27,23,6,9,0,0,0,2,0,0,1,0,0,0,3,0,1,0,1,1,0,0,0,3,6,2,2,1,1,0,0,8,7,0,5,0,7,2,1,0,,,
8/10/2020,379,2,18,41,108,67,65,51,24,18,5,0,187,191,1,182,8,59,68,13,49,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,3,1,1,2,2,3,3,3,0,9,9,0,2,2,6,7,1,0,,,
3/27/2020,406,8,154,4,43,62,86,103,49,37,22,0,211,193,2,68,9,208,69,13,39,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0,2,4,8,27,40,34,21,18,0,76,78,0,18,6,112,12,4,2,,,
5/21/2020,806,34,80,75,177,137,121,123,79,51,43,0,417,371,18,368,24,133,53,29,199,0,0,1,0,3,13,11,6,0,14,20,0,16,1,6,11,0,0,1,5,10,12,11,19,14,8,0,38,42,0,31,8,32,5,3,1,,,
6/15/2020,234,20,27,36,57,42,34,30,25,8,2,0,130,102,2,100,5,49,20,9,51,0,0,0,1,1,2,5,11,0,9,11,0,5,2,4,8,0,1,4,3,3,1,5,8,0,3,0,17,10,0,11,1,10,5,0,0,,,
